"year","countryCode","species","n_observations","country_name"
1974,"NO","Calidris minuta",254,"Norway"
1974,"NO","Calidris temminckii",96,"Norway"
1974,"SE","Calidris alba",126,"Sweden"
1974,"SE","Calidris alpina",15,"Sweden"
1974,"SE","Calidris ferruginea",224,"Sweden"
1974,"SE","Calidris maritima",118,"Sweden"
1974,"SE","Calidris minuta",181,"Sweden"
1974,"SE","Calidris temminckii",312,"Sweden"
1975,"FI","Calidris alba",3,"Finland"
1975,"FI","Calidris alpina",32,"Finland"
1975,"FI","Calidris ferruginea",152,"Finland"
1975,"FI","Calidris maritima",1,"Finland"
1975,"FI","Calidris minuta",887,"Finland"
1975,"FI","Calidris temminckii",201,"Finland"
1975,"NO","Calidris alba",61,"Norway"
1975,"NO","Calidris alpina",1,"Norway"
1975,"NO","Calidris ferruginea",163,"Norway"
1975,"NO","Calidris maritima",58,"Norway"
1975,"NO","Calidris minuta",302,"Norway"
1975,"NO","Calidris temminckii",79,"Norway"
1975,"SE","Calidris alba",139,"Sweden"
1975,"SE","Calidris alpina",5,"Sweden"
1975,"SE","Calidris ferruginea",314,"Sweden"
1975,"SE","Calidris maritima",117,"Sweden"
1975,"SE","Calidris minuta",353,"Sweden"
1975,"SE","Calidris temminckii",335,"Sweden"
1976,"FI","Calidris alba",8,"Finland"
1976,"FI","Calidris alpina",34,"Finland"
1976,"FI","Calidris ferruginea",42,"Finland"
1976,"FI","Calidris maritima",2,"Finland"
1976,"FI","Calidris minuta",223,"Finland"
1976,"FI","Calidris temminckii",76,"Finland"
1976,"NO","Calidris alba",115,"Norway"
1976,"NO","Calidris ferruginea",43,"Norway"
1976,"NO","Calidris maritima",50,"Norway"
1976,"NO","Calidris minuta",225,"Norway"
1976,"NO","Calidris temminckii",77,"Norway"
1976,"SE","Calidris alba",213,"Sweden"
1976,"SE","Calidris alpina",9,"Sweden"
1976,"SE","Calidris ferruginea",170,"Sweden"
1976,"SE","Calidris maritima",89,"Sweden"
1976,"SE","Calidris minuta",361,"Sweden"
1976,"SE","Calidris temminckii",259,"Sweden"
1977,"FI","Calidris alba",12,"Finland"
1977,"FI","Calidris alpina",65,"Finland"
1977,"FI","Calidris ferruginea",144,"Finland"
1977,"FI","Calidris maritima",1,"Finland"
1977,"FI","Calidris minuta",218,"Finland"
1977,"FI","Calidris temminckii",340,"Finland"
1977,"NO","Calidris alba",59,"Norway"
1977,"NO","Calidris ferruginea",79,"Norway"
1977,"NO","Calidris maritima",99,"Norway"
